wind_speed,wind_direction
12.7,76.16
12.69,77.71
12.68,49.07
12.68,123.54
12.67,350.83
12.67,130.62
12.65,85.29
12.65,123.0
12.63,324.03
12.62,39.18
12.6,107.07
12.6,87.45
12.6,106.09
12.6,111.62
12.6,74.25
12.6,125.22
12.6,292.15
12.6,120.07
12.6,122.74
12.6,125.34
12.6,129.72
12.6,303.49
12.6,295.19
12.6,40.31
12.6,301.31
12.6,117.74
12.6,287.96
12.6,107.47
12.6,109.63
12.6,114.7
12.6,310.39
12.6,104.18
12.6,103.23
12.6,73.52
12.6,79.28
12.6,151.37
12.6,107.18
12.6,110.35
12.6,110.25
12.6,42.18
12.6,298.03
12.59,304.98
12.59,41.18
12.58,125.8
12.58,298.49
12.58,133.27
12.58,3.05
12.56,125.55
12.56,116.69
12.56,44.51
12.55,55.72
12.55,109.24
12.54,125.2
12.53,124.59
12.52,97.5
12.51,314.24
12.5,118.04
12.5,88.58
12.5,128.08
12.5,121.58
12.5,40.76
12.5,125.51
12.5,121.88
12.5,113.32
12.5,126.38
12.5,131.47
12.5,92.09
12.5,290.93
12.5,91.11
12.5,115.22
12.5,92.58
12.5,71.74
12.5,90.12
12.5,95.26
12.5,123.73
12.5,127.09
12.5,117.62
12.5,72.85
12.5,118.71
12.5,135.48
12.5,104.67
12.5,99.4
12.5,100.74
12.5,121.03
12.5,80.11
12.5,124.73
12.5,96.18
12.5,143.39
12.5,95.99
12.49,340.31
12.49,33.44
12.49,307.63
12.45,311.75
12.45,107.14
12.44,127.52
12.43,298.46
12.43,50.19
12.42,348.93
12.41,348.85
12.41,129.51
12.4,117.22
12.4,123.69
12.4,116.04
12.4,108.67
12.4,104.24
12.4,123.36
12.4,110.81
12.4,122.36
12.4,27.23
12.4,99.55
12.4,106.6
12.4,27.88
12.4,119.46
12.4,129.21
12.4,97.51
12.4,94.13
12.4,95.92
12.4,104.18
12.4,304.48
12.4,129.37
12.4,113.24
12.4,62.2
12.4,100.42
12.4,106.45
12.4,135.27
12.4,87.86
12.4,81.79
12.4,117.36
12.4,90.05
12.4,100.43
12.4,100.41
12.4,90.7
12.4,123.84
12.4,110.69
12.4,119.0
12.4,119.26
12.4,112.91
12.4,105.0
12.4,121.01
12.4,108.31
12.4,118.78
12.4,127.1
12.4,127.79
12.39,125.73
12.36,87.34
12.35,118.28
12.34,106.84
12.33,125.34
12.32,119.94
12.31,126.74
12.31,240.27
12.3,144.26
12.3,115.62
12.3,121.7
12.3,320.01
12.3,122.93
12.3,132.24
12.3,65.96
12.3,125.02
12.3,130.43
12.3,118.04
12.3,330.88
12.3,122.36
12.3,126.37
12.3,338.19
12.3,123.59
12.3,127.31
12.3,129.99
12.3,325.49
12.3,315.94
12.3,327.57
12.3,95.72
12.3,52.26
12.3,56.91
12.3,99.91
12.3,119.59
12.3,76.31
12.3,119.4
12.3,91.17
12.3,76.88
12.3,312.54
12.3,119.2
12.3,113.77
12.3,114.94
12.3,134.07
12.3,119.31
12.3,121.74
12.3,100.14
12.3,306.23
12.3,107.43
12.3,93.47
12.3,60.62
12.3,91.34
12.3,126.53
12.29,117.63
12.29,12.85
12.29,298.55
12.29,111.23
12.29,345.21
12.28,132.46
12.28,51.17
12.28,98.83
12.28,115.19
12.27,130.84
12.26,60.56
12.26,38.7
12.26,30.06
12.26,165.11
12.25,93.43
12.24,120.56
12.24,119.16
12.23,76.2
12.23,122.1
12.22,112.94
12.21,127.29
12.2,112.79
12.2,121.34
12.2,122.34
12.2,121.62
12.2,122.01
12.2,112.32
12.2,121.21
12.2,121.15
12.2,129.96
12.2,118.85
12.2,117.82
12.2,122.96
12.2,309.54
12.2,101.51
12.2,115.82
12.2,314.57
12.2,290.92
12.2,110.71
12.2,100.4
12.2,293.78
12.2,107.07
12.2,115.65
12.2,78.31
12.2,122.87
12.2,81.41
12.2,95.74
12.2,94.77
12.2,117.98
12.2,96.71
12.2,98.43
12.2,127.35
12.2,121.3
12.2,95.88
12.2,117.67
12.2,52.25
12.2,136.38
12.2,126.42
12.2,358.37
12.2,134.54
12.18,116.07
12.17,125.75
12.17,118.68
12.16,117.38
12.16,119.81
12.14,113.96
12.13,115.73
12.12,118.77
12.12,114.71
12.12,316.81
12.11,299.6
12.1,118.84
12.1,110.34
12.1,114.13
12.1,287.61
12.1,119.6
12.1,86.33
12.1,98.14
12.1,122.44
12.1,276.0
12.1,130.23
12.1,119.74
12.1,84.01
12.1,120.97
12.1,119.27
12.1,244.9
12.1,110.3
12.1,98.35
12.1,318.69
12.1,100.86
12.1,85.7
12.1,117.2
12.1,135.69
12.1,112.19
12.1,106.01
12.1,109.9
12.1,125.24
12.1,77.63
12.1,116.48
12.1,111.75
12.1,85.73
