speed,direction
13.31,117.83
13.31,126.64
13.31,101.37
13.30,81.90
13.30,351.64
13.30,165.17
13.30,319.75
13.30,114.35
13.30,50.59
13.30,113.72
13.30,127.82
13.30,125.89
13.30,124.90
13.30,125.50
13.30,113.50
13.30,73.14
13.30,78.19
13.30,113.89
13.30,120.12
13.30,123.40
13.30,111.56
13.30,121.62
13.30,105.54
13.30,115.19
13.30,303.37
13.30,54.71
13.30,109.21
13.30,111.42
13.30,132.82
13.30,295.69
13.30,123.62
13.30,305.72
13.30,122.05
13.30,119.18
13.30,99.45
13.30,303.79
13.30,132.35
13.30,132.24
13.30,65.96
13.30,85.37
13.30,118.17
13.29,118.45
13.28,17.69
13.28,313.92
13.27,131.62
13.27,312.35
13.26,53.97
13.26,347.02
13.26,126.00
13.25,126.39
13.25,125.12
13.24,359.18
13.24,115.03
13.23,302.99
13.22,117.88
13.21,298.91
13.21,121.17
13.20,112.36
13.20,105.03
13.20,124.60
13.20,121.01
13.20,310.17
13.20,64.96
13.20,132.38
13.20,129.20
13.20,102.48
13.20,84.04
13.20,115.05
13.20,98.82
13.20,101.52
13.20,108.29
13.20,47.37
13.20,108.29
13.20,307.45
13.20,100.84
13.20,71.82
13.20,89.97
13.20,100.10
13.20,316.35
13.20,126.39
13.20,120.02
13.20,48.19
13.20,104.20
13.20,48.92
13.20,137.34
13.20,287.28
13.19,341.11
13.19,104.13
13.19,282.06
13.19,130.49
13.19,355.65
13.19,41.01
13.19,105.89
13.18,125.31
13.18,132.77
13.17,333.14
13.16,102.99
13.15,57.37
13.14,304.76
13.13,98.48
13.13,347.30
13.13,357.43
13.12,92.55
13.12,127.71
13.11,320.76
13.10,125.19
13.10,2.76
13.10,326.03
13.10,96.21
13.10,125.71
13.10,127.84
13.10,68.16
13.10,86.93
13.10,116.14
13.10,301.62
13.10,298.73
13.10,310.56
13.10,120.01
13.10,122.79
13.10,316.91
13.10,119.20
13.10,314.03
13.10,109.75
13.10,118.76
13.10,109.23
13.10,86.72
13.10,117.35
13.10,129.14
13.10,107.68
13.10,94.76
13.10,110.92
13.10,113.83
13.10,318.81
13.10,119.32
13.10,100.87
13.10,61.30
13.10,124.28
13.10,101.88
13.10,100.32
13.10,123.73
13.10,129.89
13.10,91.44
13.10,65.38
13.09,345.35
13.09,318.84
13.08,55.29
13.08,128.67
13.07,30.24
13.07,308.94
13.07,132.79
13.06,116.71
13.05,120.61
13.04,124.89
13.04,128.27
13.04,100.13
13.04,331.55
13.04,59.87
13.03,135.55
13.03,112.60
13.02,357.78
13.01,304.07
13.01,123.89
13.01,87.93
13.00,121.79
13.00,125.17
13.00,124.89
13.00,321.08
13.00,116.74
13.00,126.01
13.00,117.80
